GroupID,FileID,Class
Team Red 2,0222.txt,0
Team Red 2,0547.txt,0
Team Red 2,0604.txt,0
Team Red 2,0727.txt,0
Team Red 2,0818.txt,0
Team Red 2,1006.txt,0
Team Red 2,1530.txt,0
Team Red 2,1659.txt,0
Team Red 2,1925.txt,0
Team Red 2,2098.txt,0
Team Red 2,2264.txt,0
Team Red 2,2425.txt,0
Team Red 2,2561.txt,0
Team Red 2,2756.txt,0
Team Red 2,3216.txt,0
Team Red 2,3270.txt,0
Team Red 2,3781.txt,0
Team Red 2,3954.txt,0
Team Red 2,4012.txt,0
Team Red 2,4054.txt,0
Team Red 2,4103.txt,0
Team Red 2,4332.txt,0
Team Red 2,4336.txt,0
Team Red 2,4405.txt,0
Team Red 2,4447.txt,0
Team Red 2,4575.txt,0
Team Red 2,4582.txt,0
Team Red 2,4852.txt,0
Team Red 2,5070.txt,0
Team Red 2,5078.txt,0
Team Red 2,5139.txt,0
Team Red 2,5198.txt,0
Team Red 2,5721.txt,0
Team Red 2,5939.txt,0
Team Red 2,6065.txt,0
Team Red 2,6074.txt,0
Team Red 2,6170.txt,0
Team Red 2,6238.txt,0
Team Red 2,6340.txt,0
Team Red 2,6591.txt,0
Team Red 2,6673.txt,0
Team Red 2,7519.txt,0
Team Red 2,7521.txt,0
Team Red 2,7566.txt,0
Team Red 2,7664.txt,0
Team Red 2,7802.txt,0
Team Red 2,7821.txt,0
Team Red 2,7894.txt,0
Team Red 2,8029.txt,0
Team Red 2,8251.txt,0
Team Red 2,8286.txt,0
Team Red 2,8302.txt,0
Team Red 2,8343.txt,0
Team Red 2,8427.txt,0
Team Red 2,8860.txt,0
Team Red 2,9656.txt,0
Team Red 2,9801.txt,0
Team Red 2,9835.txt,0
Team Red 2,9851.txt,0
Team Red 2,9901.txt,0
Team Red 2,0671.txt,1
Team Red 2,0849.txt,1
Team Red 2,1453.txt,1
Team Red 2,2769.txt,1
Team Red 2,2984.txt,1
Team Red 2,3228.txt,1
Team Red 2,3323.txt,1
Team Red 2,3761.txt,1
Team Red 2,3875.txt,1
Team Red 2,4163.txt,1
Team Red 2,5216.txt,1
Team Red 2,5610.txt,1
Team Red 2,6393.txt,1
Team Red 2,6606.txt,1
Team Red 2,7280.txt,1
Team Red 2,8024.txt,1
Team Red 2,8227.txt,1
Team Red 2,8370.txt,1
Team Red 2,8583.txt,1
Team Red 2,8626.txt,1
Team Red 2,0812.txt,1
Team Red 2,1347.txt,1
Team Red 2,2191.txt,1
Team Red 2,2499.txt,1
Team Red 2,4323.txt,1
Team Red 2,4970.txt,1
Team Red 2,5344.txt,1
Team Red 2,5471.txt,1
Team Red 2,7287.txt,1
Team Red 2,8117.txt,1
Team Red 2,0386.txt,1
Team Red 2,0774.txt,1
Team Red 2,1805.txt,1
Team Red 2,1886.txt,1
Team Red 2,3177.txt,1
Team Red 2,4466.txt,1
Team Red 2,4641.txt,1
Team Red 2,4990.txt,1
Team Red 2,6881.txt,1
Team Red 2,7548.txt,1
