GroupID,FileID,Class
groupName,0265.txt,1
groupName,0378.txt,1
groupName,0410.txt,1
groupName,0510.txt,1
groupName,0514.txt,1
groupName,0612.txt,1
groupName,1027.txt,1
groupName,1093.txt,1
groupName,1315.txt,1
groupName,1367.txt,1
groupName,1544.txt,1
groupName,1560.txt,1
groupName,1624.txt,1
groupName,1695.txt,1
groupName,1804.txt,1
groupName,1807.txt,1
groupName,1910.txt,1
groupName,2079.txt,1
groupName,2085.txt,1
groupName,2119.txt,1
groupName,2611.txt,1
groupName,3496.txt,1
groupName,3626.txt,1
groupName,3638.txt,1
groupName,3901.txt,1
groupName,4202.txt,1
groupName,4331.txt,1
groupName,4678.txt,1
groupName,4871.txt,1
groupName,4933.txt,1
groupName,5093.txt,1
groupName,5389.txt,1
groupName,5553.txt,1
groupName,5558.txt,1
groupName,5780.txt,1
groupName,5793.txt,1
groupName,6142.txt,1
groupName,6162.txt,1
groupName,6227.txt,1
groupName,6382.txt,1
groupName,6616.txt,1
groupName,6715.txt,1
groupName,6788.txt,1
groupName,6958.txt,1
groupName,7266.txt,1
groupName,7401.txt,1
groupName,7426.txt,1
groupName,7436.txt,1
groupName,7456.txt,1
groupName,7531.txt,1
groupName,7832.txt,1
groupName,8130.txt,1
groupName,8297.txt,1
groupName,8846.txt,1
groupName,9043.txt,1
groupName,9181.txt,1
groupName,9189.txt,1
groupName,9230.txt,1
groupName,9410.txt,1
groupName,9464.txt,1
groupName,9479.txt,1
groupName,0448.txt,0
groupName,1538.txt,0
groupName,2553.txt,0
groupName,2860.txt,0
groupName,3393.txt,0
groupName,3431.txt,0
groupName,3577.txt,0
groupName,4368.txt,0
groupName,4705.txt,0
groupName,5134.txt,0
groupName,5239.txt,0
groupName,5374.txt,0
groupName,6746.txt,0
groupName,6964.txt,0
groupName,7194.txt,0
groupName,7356.txt,0
groupName,7874.txt,0
groupName,9687.txt,0
groupName,9943.txt,0
groupName,9959.txt,0
groupName,0386.txt,0
groupName,1925.txt,0
groupName,2169.txt,0
groupName,2777.txt,0
groupName,3779.txt,0
groupName,5426.txt,0
groupName,6398.txt,0
groupName,8062.txt,0
groupName,8230.txt,0
groupName,9821.txt,0
